survey,level,province,division,district,domain,indicator,unit,type,denom_pop,num_pop,value,n_obs
PDS 2020,Division,Punjab,Faisalabad,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,3898648,2544280,65.26,3430
PDS 2020,Division,Punjab,Gujranwala,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,4333834,2772246,63.97,4276
PDS 2020,Division,Punjab,Lahore,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,4732379,3079028,65.06,4219
PDS 2020,Division,Punjab,Multan,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,3241567,2238536,69.06,2857
PDS 2020,Division,Punjab,Rawalpindi,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,2670117,1660702,62.2,2682
PDS 2020,Division,Punjab,Sahiwal,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,1837478,1248521,67.95,1803
PDS 2020,Division,Punjab,Sargodha,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,2251845,1478512,65.66,2168
PDS 2020,Division,Sindh,Hyderabad,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,2390602,1624938,67.97,2593
PDS 2020,Division,Sindh,Karachi,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,3937902,2561856,65.06,3943
PDS 2020,Division,Sindh,Larkana,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,1931094,1357866,70.32,1630
PDS 2020,Division,Sindh,Mirpur Khas,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,938523,663011,70.64,716
PDS 2020,Division,Sindh,Shaheed Benazirabad,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,1088138,734765,67.52,1012
PDS 2020,Division,Sindh,Sukkur,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,1891733,1359998,71.89,1333
PDS 2020,National,Pakistan (survey domain),NA,NA,Maternal Health,Institutional delivery (govt/private facility),% of births (last 3 years),pct,17811022,13448245,75.51,18256
PDS 2020,National,Pakistan (survey domain),NA,NA,Maternal Health,Delivery assisted by doctor/LHV/nurse,% of births (last 3 years),pct,17811022,13419458,75.34,18256
PDS 2020,National,Pakistan (survey domain),NA,NA,Vital Statistics,"Infant deaths per 1,000 live births (IMR, births of last 3 years)","per 1,000 live births",pct,17811022,993049,55.8,18256
