survey,level,province,division,district,domain,indicator,unit,type,denom_pop,num_pop,value,n_obs
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Working Conditions,Average actual weekly working hours,hours/week,mean,10815199,NA,46.32,16424
LFS 2024-25,Province,Punjab,NA,NA,Working Conditions,Average actual weekly working hours,hours/week,mean,42179913,NA,47.2,45204
LFS 2024-25,Province,Sindh,NA,NA,Working Conditions,Average actual weekly working hours,hours/week,mean,16796751,NA,45.81,22972
LFS 2024-25,Province,Balochistan,NA,NA,Working Conditions,Average monthly wage of paid employees,PKR/month,mean,1076961,NA,48932.76,2879
LFS 2024-25,Province,Islamabad ICT,NA,NA,Working Conditions,Average monthly wage of paid employees,PKR/month,mean,292141,NA,61301.42,344
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Working Conditions,Average monthly wage of paid employees,PKR/month,mean,2694677,NA,50554.03,4040
LFS 2024-25,Province,Punjab,NA,NA,Working Conditions,Average monthly wage of paid employees,PKR/month,mean,10570586,NA,46588.01,10590
LFS 2024-25,Province,Sindh,NA,NA,Working Conditions,Average monthly wage of paid employees,PKR/month,mean,5062408,NA,49550.86,6564
LFS 2024-25,Province,Balochistan,NA,NA,Working Conditions,Paid employees with paid annual leave,% of employees,pct,1624438,553204,34.06,4463
LFS 2024-25,Province,Islamabad ICT,NA,NA,Working Conditions,Paid employees with paid annual leave,% of employees,pct,363553,138269,38.03,429
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Working Conditions,Paid employees with paid annual leave,% of employees,pct,5095370,1242714,24.39,7632
LFS 2024-25,Province,Punjab,NA,NA,Working Conditions,Paid employees with paid annual leave,% of employees,pct,17982839,3374070,18.76,18654
LFS 2024-25,Province,Sindh,NA,NA,Working Conditions,Paid employees with paid annual leave,% of employees,pct,8510532,2545650,29.91,11398
LFS 2024-25,Province,Balochistan,NA,NA,Working Conditions,Paid employees with paid sick leave,% of employees,pct,1624438,611068,37.62,4463
LFS 2024-25,Province,Islamabad ICT,NA,NA,Working Conditions,Paid employees with paid sick leave,% of employees,pct,363553,176211,48.47,429
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Working Conditions,Paid employees with paid sick leave,% of employees,pct,5095370,1480940,29.06,7632
LFS 2024-25,Province,Punjab,NA,NA,Working Conditions,Paid employees with paid sick leave,% of employees,pct,17982839,4807085,26.73,18654
LFS 2024-25,Province,Sindh,NA,NA,Working Conditions,Paid employees with paid sick leave,% of employees,pct,8510532,2850959,33.5,11398
LFS 2024-25,Province,Balochistan,NA,NA,Working Conditions,Paid employees with old-age pension coverage,% of employees,pct,1624438,433680,26.7,4463
LFS 2024-25,Province,Islamabad ICT,NA,NA,Working Conditions,Paid employees with old-age pension coverage,% of employees,pct,363553,77315,21.27,429
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Working Conditions,Paid employees with old-age pension coverage,% of employees,pct,5095370,984630,19.32,7632
LFS 2024-25,Province,Punjab,NA,NA,Working Conditions,Paid employees with old-age pension coverage,% of employees,pct,17982839,1981861,11.02,18654
LFS 2024-25,Province,Sindh,NA,NA,Working Conditions,Paid employees with old-age pension coverage,% of employees,pct,8510532,1159009,13.62,11398
LFS 2024-25,Province,Balochistan,NA,NA,Working Conditions,Occupational injury in past 12 months,% of employed,pct,3654703,59012,1.61,10630
LFS 2024-25,Province,Islamabad ICT,NA,NA,Working Conditions,Occupational injury in past 12 months,% of employed,pct,666912,12882,1.93,787
